customer_id,first_name,last_name,email,phone,address,created_at,age,is_active,preferences,subscription_tier,last_login,account_balance,payment_methods,notes,date_of_birth
A000,Diane,Lee,smithveronica@example.com,,,current_timestamp,,true,,basic,,0.00,,,31-12-1982
A001,Tammy,Walters,gavin14@example.com,,,current_timestamp,,true,,basic,,0.00,,,08-12-1973
A002,Diana,Brewer,youngrichard@example.org,,,current_timestamp,,true,,basic,,0.00,,,07-10-2013
A003,Jacob,Turner,zgutierrez@example.net,,,current_timestamp,,true,,basic,,0.00,,,08-02-2003
A004,Rachel,Moore,xaviermills@example.net,,,current_timestamp,,true,,basic,,0.00,,,08-11-1979
A005,Joshua,Coleman,blowe@example.net,,,current_timestamp,,true,,basic,,0.00,,,[Transformation Error: time data 'not_a_date' does not match format '%Y/%m/%d']
A006,Garrett,Reese,not_an_email,,,current_timestamp,,true,,basic,,0.00,,,28-01-2010
A007,Mark,Moore,dconley@example.net,,,current_timestamp,,true,,basic,,0.00,,,26-02-2008
A008,Alison,Cook,kduncan@example.org,,,current_timestamp,,true,,basic,,0.00,,,[Transformation Error: time data 'not_a_date' does not match format '%Y/%m/%d']
A009,Elizabeth,Nelson,hcombs@example.com,,,current_timestamp,,true,,basic,,0.00,,,12-06-2004
A010,Robert,Nixon,sean93@example.com,,,current_timestamp,,true,,basic,,0.00,,,02-12-2007
A011,Meagan,Barnett,kevindavidson@example.org,,,current_timestamp,,true,,basic,,0.00,,,16-11-1990
A012,Gregory,Garcia,anthonygriffith@example.net,,,current_timestamp,,true,,basic,,0.00,,,02-09-1983
A013,James,Foley,yhall@example.org,,,current_timestamp,,true,,basic,,0.00,,,27-06-1976
A014,Sean,Booker,bryan27@example.org,,,current_timestamp,,true,,basic,,0.00,,,28-07-2003
A015,Andrea,Clark,rayalicia@example.org,,,current_timestamp,,true,,basic,,0.00,,,09-06-1977
A016,Adam,Hoffman,kmoran@example.org,,,current_timestamp,,true,,basic,,0.00,,,30-08-1983
A017,Kayla,Wheeler,brooke83@example.org,,,current_timestamp,,true,,basic,,0.00,,,21-02-1998
A018,Darlene,Williams,not_an_email,,,current_timestamp,,true,,basic,,0.00,,,24-12-1972
A019,Christina,Williamson,sylviamaldonado@example.net,,,current_timestamp,,true,,basic,,0.00,,,07-12-2001
20,Andrew,Romero,joseph30@example.org,,,current_timestamp,,true,,basic,,0.00,,,12-02-2006
A021,Dawn,Carter,bcarter@example.net,,,current_timestamp,,true,,basic,,0.00,,,04-06-2001
A022,Lauren,Atkinson,not_an_email,,,current_timestamp,,true,,basic,,0.00,,,11-03-2020
23,Tyler,King,johnsonwilliam@example.com,,,current_timestamp,,true,,basic,,0.00,,,27-08-2010
A024,Rebecca,Salazar,whitneygonzalez@example.net,,,current_timestamp,,true,,basic,,0.00,,,27-05-2022
A025,Lisa,Tanner,teresa70@example.net,,,current_timestamp,,true,,basic,,0.00,,,04-09-1999
A026,Jacqueline,Gutierrez,nicholascarter@example.com,,,current_timestamp,,true,,basic,,0.00,,,[Transformation Error: time data 'not_a_date' does not match format '%Y/%m/%d']
A027,Bonnie,Hansen,not_an_email,,,current_timestamp,,true,,basic,,0.00,,,11-01-1981
A028,Brad,Hunt,philip24@example.org,,,current_timestamp,,true,,basic,,0.00,,,[Transformation Error: time data 'not_a_date' does not match format '%Y/%m/%d']
A029,Daniel,Evans,not_an_email,,,current_timestamp,,true,,basic,,0.00,,,17-02-1996
A030,Heather,Morris,mwest@example.net,,,current_timestamp,,true,,basic,,0.00,,,17-12-1979
A031,Juan,Wright,portersamantha@example.com,,,current_timestamp,,true,,basic,,0.00,,,16-03-1979
A032,Cheyenne,Nichols,cfreeman@example.net,,,current_timestamp,,true,,basic,,0.00,,,12-01-1989
A033,Taylor,Martinez,virginiaadams@example.com,,,current_timestamp,,true,,basic,,0.00,,,07-01-1981
A034,Wanda,Harper,taylormoran@example.net,,,current_timestamp,,true,,basic,,0.00,,,16-02-1996
A035,Wendy,Perry,lindajackson@example.com,,,current_timestamp,,true,,basic,,0.00,,,06-11-1983
A036,Sara,West,not_an_email,,,current_timestamp,,true,,basic,,0.00,,,06-06-1987
37,Stephen,Swanson,daniel18@example.org,,,current_timestamp,,true,,basic,,0.00,,,11-07-2008
38,Chad,Dixon,skinneranita@example.com,,,current_timestamp,,true,,basic,,0.00,,,11-10-2015
A039,Samuel,Gonzalez,joneselizabeth@example.com,,,current_timestamp,,true,,basic,,0.00,,,07-04-1970
40,Donald,Perry,qsmith@example.net,,,current_timestamp,,true,,basic,,0.00,,,[Transformation Error: time data 'not_a_date' does not match format '%Y/%m/%d']
A041,Timothy,Alvarez,randy05@example.net,,,current_timestamp,,true,,basic,,0.00,,,20-06-1975
A042,Amber,Martinez,kevin17@example.com,,,current_timestamp,,true,,basic,,0.00,,,08-03-1995
A043,Debra,Hammond,njames@example.com,,,current_timestamp,,true,,basic,,0.00,,,20-01-2021
A044,Jacob,Meyers,lowecatherine@example.net,,,current_timestamp,,true,,basic,,0.00,,,24-11-1981
A045,Andrew,Stark,kelseylucas@example.com,,,current_timestamp,,true,,basic,,0.00,,,09-03-1977
A046,William,Chaney,faulknerandrew@example.org,,,current_timestamp,,true,,basic,,0.00,,,03-03-2020
A047,Warren,Patel,imendoza@example.com,,,current_timestamp,,true,,basic,,0.00,,,31-03-2018
A048,Sarah,Perry,jessica18@example.com,,,current_timestamp,,true,,basic,,0.00,,,31-05-1983
A049,Micheal,Acosta,fitzgeraldandrea@example.org,,,current_timestamp,,true,,basic,,0.00,,,[Transformation Error: time data 'not_a_date' does not match format '%Y/%m/%d']
